Butiksnavn, Adresse, By, 
365discount Hvidovre, Arnold Nielsens Boulevard 2, 2650 Hvidovre
365discount Hvidovre, Gammel Køge Landevej 258, 2650 Hvidovre
AMOT, Voldgårdsvej 10, 2650 Hvidovre
REMA 1000, Hvidovrevej 344, 2650 Hvidovre
Butik 218 Rebæk Søpark, Immerkær 27, 2650 Hvidovre
Butik 226 Avedøre, Sadelmagerporten 2, 2650 Hvidovre
Butik 283 Friheden, Strandmarksvej 20, 2650 Hvidovre
REMA 1000, Kettevej 10, 2650 Hvidovre
Esat og sønnerne ApS, Trædrejerporten 4, 2650 Hvidovre
KVICKLY, Hvidovrevej 178, 2650 Hvidovre
OTTOMAN HVIDOVRE ApS, Immerkær 27, 2650 Hvidovre
REMA 1000, Laurits Olsens Vej 1, 2650 Hvidovre
Snacky Snacks ApS, Doktor Willesvej 12, 2650 Hvidovre
SUPERBRUGSEN, Ketilstorp Alle 1, 2650 Hvidovre
Sømod Vine, Grønholtvej 23, 2650 Hvidovre
Varer hos Schulstad, Hammerholmen 21, 2650 Hvidovre
Vietnam Supermarked, Kanalholmen 14, 2650 Hvidovre
Vietnam Supermarked, Stamholmen 165, 2650 Hvidovre
Føtex, Hvidovrevej 75, 2650 Hvidovre 
